time-tag,ssn,ne_500,Te_500,ne_1000,Te_1000,ne_1500,Te1500,ne_2000,Te_2000,TEC
1959-07,211.9,0.33779E+12,1884.7,0.34032E+11,2964.9,0.11576E+11,3435.3,0.61848E+10,3751.4,26.7
1959-08,282.6,0.30671E+12,2004.3,0.32790E+11,2909.5,0.11415E+11,3500.4,0.61572E+10,3810.1,25.9
1959-09,205.6,0.32774E+12,2207.9,0.37182E+11,2788.7,0.13304E+11,3618.2,0.72666E+10,3900.5,29.5
1959-10,157.7,0.34545E+12,2390.7,0.41033E+11,2788.8,0.15062E+11,3683.9,0.83332E+10,3945.7,33.1
1959-11,175.6,0.32340E+12,2581.0,0.39509E+11,3130.6,0.14691E+11,3599.5,0.81786E+10,3896.9,32.3
1959-12,177.1,0.28129E+12,2752.7,0.33684E+11,3340.0,0.12504E+11,3564.0,0.69650E+10,3880.4,29.0
1960-01,207.2,0.24021E+12,2841.9,0.28325E+11,3370.8,0.10415E+11,3584.6,0.57728E+10,3877.8,23.8
1960-02,149.9,0.23235E+12,2814.6,0.26694E+11,3366.4,0.97295E+10,3777.3,0.53736E+10,4102.9,22.0
1960-03,144.6,0.27874E+12,2712.4,0.30156E+11,3000.3,0.10888E+11,3737.4,0.60068E+10,4036.3,25.8
1960-04,172.7,0.34892E+12,2326.9,0.35798E+11,2771.3,0.12766E+11,3662.0,0.70164E+10,3947.7,31.5
1960-05,169.3,0.38537E+12,2011.4,0.38579E+11,2869.3,0.13603E+11,3522.3,0.74372E+10,3812.5,34.1
1960-06,156.0,0.32769E+12,1886.6,0.33169E+11,2951.8,0.11646E+11,3443.6,0.63453E+10,3748.2,29.2
1960-07,172.4,0.27043E+12,1886.4,0.28141E+11,3004.7,0.99725E+10,3479.1,0.54531E+10,3749.1,25.1
1960-08,190.0,0.25370E+12,2002.3,0.27616E+11,3329.6,0.99698E+10,3825.3,0.54968E+10,3875.4,24.9
1960-09,180.1,0.27313E+12,2229.9,0.31072E+11,3346.6,0.11484E+11,3894.4,0.64061E+10,4131.8,28.5
1960-10,117.3,0.29443E+12,2392.8,0.34729E+11,3319.3,0.13121E+11,3883.8,0.74043E+10,4254.1,32.4
1960-11,126.9,0.30166E+12,2537.5,0.36357E+11,3471.1,0.13893E+11,3881.7,0.78853E+10,4295.5,34.2
1960-12,121.2,0.25216E+12,2688.8,0.29840E+11,3568.5,0.11384E+11,3912.2,0.64639E+10,4353.3,29.0
1961-01,82.1,0.20963E+12,2793.6,0.24210E+11,3607.6,0.91442E+10,3969.3,0.51678E+10,5295.8,23.4
1961-02,65.4,0.18778E+12,2800.0,0.21927E+11,3463.8,0.82850E+10,3867.2,0.46793E+10,4226.6,20.8
1961-03,75.2,0.21606E+12,2706.8,0.24689E+11,3205.0,0.93189E+10,3828.9,0.52684E+10,4172.0,24.2
1961-04,86.9,0.26421E+12,2332.8,0.29393E+11,3058.6,0.11043E+11,3776.2,0.62369E+10,4065.7,29.7
1961-05,72.3,0.27130E+12,1985.6,0.29654E+11,3101.7,0.11064E+11,3671.7,0.62293E+10,3842.2,30.3
1961-06,109.5,0.23605E+12,1882.1,0.25824E+11,3016.8,0.95937E+10,3513.0,0.53861E+10,3747.9,26.3
1961-07,99.3,0.20678E+12,1853.4,0.22904E+11,3082.9,0.85327E+10,3555.3,0.47946E+10,3725.7,23.4
1961-08,79.2,0.19931E+12,1991.7,0.22567E+11,3021.3,0.84820E+10,3588.1,0.47856E+10,3823.5,23.1
1961-09,90.1,0.22295E+12,2196.2,0.25867E+11,3039.2,0.98738E+10,3727.2,0.56166E+10,3981.3,27.0
1961-10,53.7,0.24682E+12,2388.7,0.29343E+11,2974.4,0.11385E+11,3758.8,0.65330E+10,4057.9,31.0
1961-11,46.5,0.23483E+12,2578.5,0.28333E+11,3186.7,0.11073E+11,3655.8,0.63768E+10,3974.1,29.8
1961-12,56.9,0.20874E+12,2724.5,0.24740E+11,3411.0,0.96326E+10,3675.9,0.55410E+10,4029.0,26.0
1962-01,55.1,0.17963E+12,2831.3,0.20664E+11,3417.4,0.79609E+10,3664.7,0.45580E+10,3980.9,21.9
1962-02,71.7,0.16169E+12,2812.0,0.19303E+11,3377.3,0.74813E+10,3787.2,0.42888E+10,4117.0,20.1
1962-03,64.9,0.18545E+12,2705.5,0.22085E+11,3261.7,0.85658E+10,3854.3,0.49136E+10,4211.5,23.5
1962-04,65.9,0.22952E+12,2345.1,0.26752E+11,2877.4,0.10317E+11,3721.9,0.59052E+10,4010.8,29.0
1962-05,61.9,0.24018E+12,2017.0,0.27360E+11,2945.5,0.10448E+11,3586.9,0.59528E+10,3835.5,29.6
1962-06,59.6,0.21349E+12,1882.8,0.24087E+11,3015.3,0.91200E+10,3511.5,0.51713E+10,3748.1,25.7
1962-07,31.4,0.19132E+12,1884.6,0.21676E+11,2994.3,0.81990E+10,3466.6,0.46447E+10,3749.6,23.1
1962-08,31.5,0.18888E+12,2004.2,0.21741E+11,2909.6,0.82832E+10,3500.5,0.47088E+10,3810.7,23.3
1962-09,72.7,0.21068E+12,2208.6,0.24729E+11,2801.9,0.95663E+10,3625.8,0.54840E+10,3906.8,27.1
1962-10,56.1,0.22974E+12,2393.6,0.27517E+11,2832.6,0.10816E+11,3706.3,0.62550E+10,3978.9,30.9
1962-11,38.8,0.21933E+12,2580.3,0.26573E+11,3149.2,0.10514E+11,3618.2,0.61011E+10,3922.8,29.6
1962-12,33.2,0.21149E+12,2752.4,0.25165E+11,3345.2,0.99126E+10,3572.5,0.57427E+10,3891.7,27.6
1963-01,28.7,0.17157E+12,2842.0,0.19754E+11,3372.2,0.76873E+10,3587.2,0.44292E+10,3880.8,21.9
1963-02,35.2,0.17668E+12,2836.1,0.21329E+11,3263.7,0.83538E+10,3679.9,0.48175E+10,3968.5,23.0
1963-03,24.8,0.17685E+12,2716.7,0.21400E+11,2984.7,0.83823E+10,3718.1,0.48333E+10,4009.3,23.4
1963-04,41.7,0.21854E+12,2340.1,0.25955E+11,2768.2,0.10111E+11,3667.7,0.58176E+10,3953.2,28.8
1963-05,61.1,0.23223E+12,2017.7,0.26988E+11,2872.0,0.10417E+11,3530.7,0.59677E+10,3817.7,30.0
1963-06,51.2,0.20401E+12,1888.1,0.23428E+11,2954.7,0.89625E+10,3450.0,0.51092E+10,3750.0,25.7
1963-07,28.7,0.18363E+12,1884.4,0.21090E+11,2964.9,0.80468E+10,3435.4,0.45794E+10,3752.2,23.0
1963-08,47.5,0.18833E+12,2004.0,0.21868E+11,2909.5,0.83879E+10,3500.5,0.47859E+10,3810.9,23.9
1963-09,55.2,0.20744E+12,2207.8,0.24462E+11,2788.8,0.95092E+10,3618.3,0.54665E+10,3901.0,27.4
1963-10,50.1,0.22443E+12,2390.9,0.26942E+11,2788.8,0.10628E+11,3683.9,0.61589E+10,3945.9,30.7
1963-11,33.7,0.21698E+12,2579.3,0.26326E+11,3159.7,0.10453E+11,3628.8,0.60787E+10,3937.3,29.8
1963-12,21.6,0.20437E+12,2751.8,0.24366E+11,3344.8,0.96417E+10,3572.4,0.56010E+10,3891.6,27.2
1964-01,22.6,0.16708E+12,2841.8,0.19260E+11,3370.9,0.75368E+10,3585.8,0.43572E+10,3879.0,21.8
1964-02,25.3,0.16436E+12,2836.5,0.20039E+11,3240.1,0.79162E+10,3653.1,0.45870E+10,3932.5,22.3
1964-03,24.1,0.16752E+12,2710.4,0.20682E+11,2973.5,0.81976E+10,3720.3,0.47561E+10,4011.6,23.4
1964-04,12.9,0.20246E+12,2326.7,0.24758E+11,2771.4,0.97925E+10,3662.0,0.56776E+10,3947.9,28.6
1964-05,14.3,0.21656E+12,2010.9,0.26037E+11,2869.2,0.10229E+11,3522.3,0.59118E+10,3813.3,30.2
1964-06,13.5,0.18568E+12,1886.1,0.22025E+11,2949.5,0.85786E+10,3441.3,0.49356E+10,3749.2,25.3
1964-07,4.8,0.16922E+12,1886.0,0.19960E+11,2964.2,0.77391E+10,3436.4,0.44414E+10,3753.5,22.7
1964-08,13.8,0.16877E+12,2009.6,0.19979E+11,2906.6,0.77703E+10,3503.8,0.44670E+10,3813.8,22.8
1964-09,7.0,0.19294E+12,2214.8,0.23053E+11,2784.1,0.90731E+10,3622.8,0.52522E+10,3904.3,27.0
1964-10,9.2,0.21652E+12,2396.7,0.26216E+11,2800.7,0.10456E+11,3680.8,0.60980E+10,3943.9,31.4
1964-11,11.1,0.20794E+12,2587.0,0.25355E+11,3139.9,0.10161E+11,3597.9,0.59410E+10,3896.8,29.9
1964-12,22.1,0.18797E+12,2756.5,0.22497E+11,3343.8,0.89672E+10,3563.8,0.52315E+10,3880.5,25.8
1965-01,25.4,0.16464E+12,2842.5,0.19009E+11,3375.5,0.74790E+10,3593.5,0.43380E+10,3888.1,22.1
1965-02,20.8,0.14525E+12,2836.2,0.17822E+11,3240.0,0.70775E+10,3653.0,0.41131E+10,3932.6,20.2
1965-03,17.5,0.16554E+12,2714.6,0.20573E+11,2983.8,0.81863E+10,3717.4,0.47594E+10,4008.8,23.6
1965-04,10.2,0.20421E+12,2337.3,0.25007E+11,2767.3,0.99013E+10,3667.2,0.57439E+10,3952.3,29.0
1965-05,34.5,0.21346E+12,2016.6,0.25533E+11,2865.5,0.10009E+11,3526.2,0.57784E+10,3816.4,29.5
1965-06,23.3,0.19243E+12,1888.0,0.22639E+11,2947.9,0.87814E+10,3442.9,0.50419E+10,3750.4,25.7
1965-07,17.3,0.17494E+12,1884.5,0.20471E+11,2965.1,0.79024E+10,3435.5,0.45250E+10,3752.8,23.0
1965-08,13.3,0.17515E+12,2004.3,0.20591E+11,2909.7,0.79727E+10,3500.5,0.45725E+10,3811.2,23.2
1965-09,24.5,0.19909E+12,2207.6,0.23650E+11,2788.7,0.92636E+10,3618.3,0.53483E+10,3901.0,27.3
1965-10,29.1,0.22252E+12,2393.2,0.26807E+11,2825.5,0.10633E+11,3702.6,0.61816E+10,3973.5,31.3
1965-11,22.8,0.21922E+12,2582.0,0.26619E+11,3130.7,0.10598E+11,3599.7,0.61731E+10,3897.6,30.5
1965-12,24.7,0.20132E+12,2754.4,0.23986E+11,3340.1,0.94903E+10,3564.3,0.55129E+10,3880.8,26.8
1966-01,40.3,0.17593E+12,2842.0,0.20255E+11,3376.8,0.79012E+10,3595.3,0.45594E+10,3890.8,22.7
1966-02,35.3,0.16005E+12,2836.4,0.19310E+11,3249.5,0.75658E+10,3663.8,0.43642E+10,3946.9,20.9
1966-03,36.4,0.18728E+12,2718.5,0.22542E+11,3019.2,0.88090E+10,3740.9,0.50737E+10,4042.0,24.5
1966-04,69.0,0.23624E+12,2340.0,0.27679E+11,2949.1,0.10720E+11,3742.4,0.61505E+10,4032.5,30.3
1966-05,64.2,0.25122E+12,2015.0,0.28587E+11,2951.6,0.10928E+11,3590.7,0.62303E+10,3837.0,31.1
1966-06,67.7,0.20676E+12,1864.2,0.23138E+11,3052.6,0.87306E+10,3545.9,0.49426E+10,3741.4,24.6
1966-07,80.2,0.21114E+12,1861.2,0.23560E+11,3064.8,0.88369E+10,3538.4,0.49845E+10,3737.3,24.5
1966-08,72.6,0.21314E+12,1969.7,0.24079E+11,3129.8,0.90499E+10,3658.2,0.51066E+10,3809.3,24.7
1966-09,71.1,0.24594E+12,2194.5,0.28364E+11,3086.8,0.10779E+11,3745.2,0.61166E+10,3995.0,29.1
1966-10,81.2,0.27831E+12,2385.2,0.32904E+11,3053.0,0.12673E+11,3782.4,0.72402E+10,4095.0,33.6
1966-11,81.0,0.30297E+12,2552.6,0.36429E+11,3277.4,0.14104E+11,3720.8,0.80757E+10,4066.8,36.6
1966-12,99.8,0.26564E+12,2706.3,0.31372E+11,3442.8,0.12074E+11,3724.7,0.68958E+10,4097.8,31.6
1967-01,157.0,0.21588E+12,2781.1,0.24858E+11,3557.2,0.94367E+10,3886.4,0.53519E+10,4280.6,24.6
1967-02,132.6,0.20511E+12,2822.0,0.23912E+11,3590.1,0.90427E+10,4015.6,0.51108E+10,5298.5,22.7
1967-03,158.3,0.24619E+12,2797.2,0.27774E+11,3553.1,0.10414E+11,4133.0,0.58681E+10,5404.8,26.7
1967-04,98.4,0.31591E+12,2375.5,0.34065E+11,3386.0,0.12606E+11,3946.3,0.70678E+10,4251.5,33.2
1967-05,122.5,0.33678E+12,1991.7,0.35215E+11,3267.8,0.12843E+11,3786.6,0.71496E+10,3882.9,34.2
1967-06,95.4,0.28536E+12,1863.9,0.29709E+11,3306.2,0.10709E+11,3788.1,0.59194E+10,3749.8,28.1
1967-07,129.5,0.26956E+12,1832.4,0.28461E+11,3227.0,0.10258E+11,3698.3,0.56634E+10,3692.2,26.6
1967-08,151.8,0.26134E+12,2019.9,0.28555E+11,3361.7,0.10397E+11,3859.4,0.57625E+10,3908.0,26.5
1967-09,108.7,0.28947E+12,2233.7,0.32880E+11,3367.3,0.12198E+11,3913.9,0.68226E+10,4146.1,30.6
1967-10,125.0,0.31886E+12,2395.5,0.37512E+11,3347.9,0.14188E+11,3905.5,0.80136E+10,4282.2,35.2
1967-11,133.6,0.30381E+12,2536.3,0.36553E+11,3482.0,0.13935E+11,3898.2,0.78981E+10,4317.1,34.1
1967-12,179.0,0.27706E+12,2697.1,0.32761E+11,3592.2,0.12415E+11,3954.4,0.70190E+10,4411.6,31.0
1968-01,172.5,0.27255E+12,2856.7,0.31614E+11,3655.4,0.11817E+11,4057.9,0.66309E+10,5296.0,28.9
1968-02,158.5,0.23251E+12,3030.0,0.26798E+11,3636.5,0.99449E+10,4231.9,0.55568E+10,5330.8,23.7
1968-03,130.5,0.29080E+12,2757.4,0.31948E+11,3536.7,0.11741E+11,4074.3,0.65440E+10,5409.5,28.9
1968-04,115.0,0.36246E+12,2344.4,0.37746E+11,3341.9,0.13670E+11,3903.3,0.75790E+10,4197.4,34.8
1968-05,180.0,0.38135E+12,1993.9,0.38552E+11,3298.8,0.13763E+11,3811.9,0.75783E+10,3894.6,35.4
1968-06,156.2,0.33605E+12,1852.4,0.34194E+11,3288.8,0.12117E+11,3769.5,0.66375E+10,3732.3,30.9
1968-07,136.2,0.28963E+12,1836.5,0.30177E+11,3240.5,0.10752E+11,3712.3,0.58993E+10,3695.9,27.3
1968-08,154.8,0.27545E+12,1979.9,0.29897E+11,3265.8,0.10802E+11,3765.9,0.59599E+10,3834.6,27.0
1968-09,166.0,0.31007E+12,2211.6,0.35110E+11,3275.0,0.12933E+11,3839.6,0.72017E+10,4078.5,31.7
1968-10,152.5,0.33481E+12,2401.4,0.39371E+11,3360.4,0.14772E+11,3910.7,0.83004E+10,4290.3,35.5
1968-11,121.7,0.41965E+12,2553.6,0.50593E+11,3520.9,0.19138E+11,3944.5,0.10790E+11,4380.2,45.1
1968-12,155.5,0.29163E+12,2694.7,0.34540E+11,3582.2,0.13009E+11,3934.9,0.73243E+10,4384.5,31.8
1969-01,147.8,0.25393E+12,2790.5,0.29542E+11,3599.4,0.10994E+11,3955.4,0.61496E+10,5296.1,26.5
1969-02,170.5,0.24466E+12,2809.9,0.28124E+11,3562.6,0.10386E+11,3977.2,0.57857E+10,5298.6,24.4
1969-03,192.3,0.30161E+12,2766.5,0.32947E+11,3544.1,0.12060E+11,4085.4,0.67071E+10,5405.0,29.4
1969-04,151.1,0.36996E+12,2444.7,0.38423E+11,3432.1,0.13907E+11,4068.0,0.77086E+10,4382.6,35.4
1969-05,169.9,0.39642E+12,1996.8,0.40093E+11,3288.4,0.14334E+11,3804.2,0.79001E+10,3894.4,37.0
1969-06,150.1,0.33992E+12,1836.4,0.34592E+11,3225.1,0.12272E+11,3706.8,0.67272E+10,3708.0,31.4
1969-07,137.1,0.29457E+12,1857.2,0.30665E+11,3303.6,0.10927E+11,3776.1,0.59964E+10,3724.4,27.8
1969-08,138.8,0.28149E+12,2009.6,0.30513E+11,3348.8,0.11017E+11,3844.3,0.60763E+10,3889.9,27.5
1969-09,129.3,0.30989E+12,2220.8,0.35068E+11,3340.7,0.12922E+11,3886.8,0.71972E+10,4117.5,31.8
1969-10,135.4,0.33498E+12,2396.7,0.39363E+11,3353.6,0.14808E+11,3909.5,0.83349E+10,4287.4,36.0
1969-11,132.4,0.32179E+12,2543.5,0.38730E+11,3503.0,0.14703E+11,3924.2,0.83096E+10,4352.1,35.3
1969-12,138.6,0.30107E+12,2689.4,0.35603E+11,3570.8,0.13454E+11,3917.9,0.75920E+10,4360.6,33.3
1970-01,157.9,0.25251E+12,2809.5,0.29308E+11,3628.2,0.10937E+11,4005.1,0.61298E+10,5296.2,26.6
1970-02,180.8,0.24268E+12,2823.0,0.27922E+11,3591.2,0.10342E+11,4017.2,0.57719E+10,5298.7,24.5
1970-03,145.7,0.29451E+12,2793.8,0.32249E+11,3552.7,0.11833E+11,4128.8,0.65900E+10,5405.0,29.1
1970-04,155.1,0.35729E+12,2401.6,0.37145E+11,3419.5,0.13458E+11,3997.6,0.74646E+10,4306.6,34.4
1970-05,180.5,0.40286E+12,2038.4,0.40748E+11,3360.7,0.14575E+11,3879.7,0.80353E+10,3969.0,37.7
1970-06,151.3,0.34028E+12,1867.2,0.34645E+11,3310.9,0.12299E+11,3792.9,0.67447E+10,3753.6,31.5
1970-07,159.3,0.29372E+12,1901.6,0.30614E+11,3357.6,0.10923E+11,3832.7,0.59986E+10,3791.4,27.8
1970-08,131.7,0.27769E+12,1978.1,0.30163E+11,3282.3,0.10923E+11,3778.7,0.60355E+10,3835.4,27.5
1970-09,140.8,0.30226E+12,2222.7,0.34258E+11,3344.1,0.12683E+11,3889.9,0.70856E+10,4120.6,31.6
1970-10,122.6,0.32350E+12,2394.7,0.38014E+11,3339.8,0.14382E+11,3900.2,0.81260E+10,4275.1,35.8
1970-11,134.8,0.30718E+12,2568.0,0.36902E+11,3540.1,0.14113E+11,3984.0,0.80172E+10,4428.8,35.0
1970-12,118.2,0.27111E+12,2702.1,0.31986E+11,3597.3,0.12213E+11,3963.2,0.69395E+10,4423.3,31.2
1971-01,129.2,0.23216E+12,2788.3,0.26744E+11,3595.6,0.10112E+11,3948.9,0.57193E+10,5296.4,25.9
1971-02,111.8,0.23339E+12,2831.0,0.27162E+11,3602.1,0.10261E+11,4034.8,0.57964E+10,5298.9,25.7
1971-03,85.9,0.24951E+12,2712.5,0.28273E+11,3407.4,0.10648E+11,3933.4,0.60150E+10,4328.0,27.6
1971-04,101.6,0.30682E+12,2337.4,0.33634E+11,3067.5,0.12589E+11,3779.8,0.71010E+10,4069.8,33.9
1971-05,81.5,0.31573E+12,1999.8,0.33904E+11,3024.8,0.12583E+11,3628.8,0.70698E+10,3839.9,34.4
1971-06,70.7,0.27662E+12,1849.8,0.29701E+11,3093.1,0.10947E+11,3581.1,0.61236E+10,3721.8,29.8
1971-07,114.7,0.24277E+12,1831.3,0.26411E+11,3193.8,0.97503E+10,3665.1,0.54543E+10,3691.9,26.4
1971-08,87.0,0.23526E+12,1974.2,0.26270E+11,3104.2,0.97927E+10,3641.0,0.55015E+10,3809.6,26.3
1971-09,71.3,0.26493E+12,2206.9,0.30425E+11,2950.0,0.11530E+11,3695.5,0.65328E+10,3961.9,30.9
1971-10,73.4,0.29320E+12,2385.0,0.34606E+11,3117.7,0.13336E+11,3803.2,0.76231E+10,4129.1,35.5
1971-11,89.5,0.28044E+12,2543.9,0.33677E+11,3324.8,0.13069E+11,3755.5,0.74953E+10,4117.2,34.2
1971-12,116.5,0.25478E+12,2691.7,0.30053E+11,3486.0,0.11598E+11,3789.3,0.66362E+10,4181.3,30.6
1972-01,87.0,0.22416E+12,2792.7,0.25762E+11,3488.8,0.98069E+10,3780.0,0.55726E+10,4139.2,25.8
1972-02,125.3,0.20952E+12,2802.2,0.24486E+11,3455.5,0.93062E+10,3859.0,0.52759E+10,4215.3,23.7
1972-03,113.5,0.24721E+12,2706.8,0.28150E+11,3394.3,0.10642E+11,3928.2,0.60245E+10,4320.7,27.8
1972-04,89.6,0.31180E+12,2323.3,0.34138E+11,3074.6,0.12774E+11,3777.2,0.72048E+10,4063.3,34.4
1972-05,113.9,0.34023E+12,1985.0,0.36279E+11,3072.0,0.13416E+11,3651.2,0.75246E+10,3834.4,36.5
1972-06,124.7,0.28565E+12,1832.8,0.30461E+11,3203.3,0.11182E+11,3684.3,0.62417E+10,3702.0,30.2
1972-07,108.3,0.24897E+12,1834.2,0.26968E+11,3217.8,0.99279E+10,3689.2,0.55455E+10,3692.0,26.7
1972-08,108.9,0.23895E+12,1983.6,0.26632E+11,3278.4,0.99152E+10,3776.8,0.55665E+10,3839.2,26.6
1972-09,90.7,0.26331E+12,2208.4,0.30254E+11,3242.4,0.11479E+11,3820.4,0.65090E+10,4060.6,30.9
1972-10,86.9,0.28549E+12,2389.2,0.33727E+11,3176.8,0.13038E+11,3819.1,0.74672E+10,4157.7,35.1
1972-11,59.2,0.31613E+12,2540.7,0.37979E+11,3392.2,0.14802E+11,3804.7,0.85123E+10,4185.8,39.3
1972-12,64.3,0.24582E+12,2723.9,0.29022E+11,3422.7,0.11276E+11,3688.4,0.64799E+10,4046.6,30.4
1973-01,61.8,0.21612E+12,2818.1,0.24798E+11,3439.8,0.95364E+10,3701.2,0.54549E+10,4029.2,26.0
1973-02,60.9,0.18965E+12,2828.2,0.22506E+11,3319.6,0.87007E+10,3737.0,0.49817E+10,4044.7,23.2
1973-03,65.4,0.22472E+12,2712.4,0.26524E+11,3158.8,0.10264E+11,3809.4,0.58825E+10,4142.2,28.1
1973-04,81.8,0.26192E+12,2335.5,0.30210E+11,3057.9,0.11634E+11,3776.3,0.66586E+10,4065.7,32.8
1973-05,60.3,0.28307E+12,1995.8,0.31980E+11,3045.6,0.12211E+11,3640.4,0.69606E+10,3839.2,34.8
1973-06,56.1,0.23904E+12,1878.7,0.26835E+11,3026.5,0.10166E+11,3521.7,0.57681E+10,3746.3,28.8
1973-07,33.2,0.19989E+12,1886.4,0.22563E+11,3005.5,0.85402E+10,3477.9,0.48413E+10,3747.2,24.1
1973-08,36.6,0.21347E+12,2008.1,0.24483E+11,2948.3,0.93336E+10,3533.2,0.53094E+10,3815.1,26.3
1973-09,84.1,0.23286E+12,2203.4,0.27229E+11,2989.3,0.10542E+11,3709.1,0.60480E+10,3969.6,30.0
1973-10,43.7,0.25471E+12,2391.4,0.30404E+11,2994.2,0.11965E+11,3764.8,0.69261E+10,4067.5,34.3
1973-11,34.3,0.26055E+12,2583.2,0.31474E+11,3169.0,0.12470E+11,3637.5,0.72434E+10,3948.8,35.2
1973-12,33.3,0.22379E+12,2752.6,0.26555E+11,3364.1,0.10472E+11,3603.2,0.60726E+10,3931.0,29.4
1974-01,39.4,0.20446E+12,2844.6,0.23482E+11,3371.1,0.91398E+10,3585.4,0.52677E+10,3877.2,26.0
1974-02,37.3,0.19330E+12,2838.1,0.23211E+11,3240.2,0.90754E+10,3652.3,0.52298E+10,3931.5,24.9
1974-03,30.9,0.21527E+12,2718.4,0.25820E+11,2984.9,0.10091E+11,3717.8,0.58137E+10,4009.3,28.1
1974-04,57.5,0.25285E+12,2342.3,0.29675E+11,2768.7,0.11536E+11,3667.9,0.66335E+10,3953.2,33.0
1974-05,56.3,0.27167E+12,2021.3,0.31127E+11,2940.7,0.11977E+11,3582.8,0.68535E+10,3833.1,34.5
1974-06,51.5,0.22478E+12,1887.8,0.25460E+11,3010.8,0.96968E+10,3506.9,0.55176E+10,3746.7,27.8
1974-07,79.1,0.20889E+12,1876.8,0.23708E+11,3038.9,0.90072E+10,3512.6,0.51163E+10,3743.7,25.6
1974-08,47.9,0.20733E+12,2007.9,0.23853E+11,2935.8,0.91184E+10,3522.3,0.51949E+10,3812.8,25.9
1974-09,57.2,0.23742E+12,2213.2,0.27805E+11,2809.3,0.10787E+11,3630.1,0.61964E+10,3910.1,30.9
1974-10,67.2,0.25924E+12,2401.1,0.30967E+11,2876.7,0.12208E+11,3728.8,0.70742E+10,4012.3,35.2
1974-11,35.9,0.24687E+12,2582.4,0.29843E+11,3184.9,0.11851E+11,3653.6,0.68933E+10,3970.6,33.8
1974-12,29.6,0.22200E+12,2754.7,0.26377E+11,3351.3,0.10438E+11,3581.6,0.60648E+10,3902.7,29.5
1975-01,27.3,0.19392E+12,2844.0,0.22290E+11,3373.8,0.87194E+10,3589.6,0.50408E+10,3883.0,25.3
1975-02,16.7,0.18435E+12,2838.5,0.22357E+11,3240.2,0.88173E+10,3652.2,0.51056E+10,3931.4,24.8
1975-03,16.9,0.19470E+12,2719.9,0.23802E+11,2985.5,0.94066E+10,3718.1,0.54511E+10,4009.6,26.8
1975-04,7.7,0.23471E+12,2344.4,0.28302E+11,2769.4,0.11156E+11,3668.3,0.64602E+10,3953.8,32.6
1975-05,13.1,0.23884E+12,2021.1,0.28295E+11,2866.6,0.11074E+11,3526.1,0.63914E+10,3814.6,32.7
1975-06,16.7,0.21110E+12,1891.0,0.24712E+11,2948.5,0.95847E+10,3442.8,0.55048E+10,3746.9,28.2
1975-07,40.4,0.18650E+12,1887.2,0.21775E+11,2965.5,0.84142E+10,3435.3,0.48220E+10,3748.9,24.6
1975-08,56.7,0.19031E+12,2008.9,0.22367E+11,2944.8,0.86815E+10,3529.9,0.49869E+10,3813.3,25.5
1975-09,20.3,0.21590E+12,2215.1,0.25647E+11,2819.5,0.10083E+11,3635.9,0.58348E+10,3914.5,30.0
